ebay_id,title,location,condition,artist,release_year,image_url,sleeve_grading,record_grading,sold_date,sold,shipping_cost,image_file,label
256396620868.0,Cream Disraeli Gears Vinyl LP RSI 3010  Strange Brew,"Located in: Sewell, New Jersey, United States",UsedAn item that has been used previously. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab,Cream,1977,https://i.ebayimg.com/images/g/7bgAAOSw209luw2R/s-l1600.webp,Excellent (EX),Near Mint (NM or M-),,19.95,6.95,7bgAAOSw209luw2R_s-l1600.webp,Cream
235468428861.0,**RARE UK 2nd Crossover Pressing** The Beatles~Abbey Road~1969 Apple Records VG+,"Located in: Manitou Springs, Colorado, United States",Used: An item that has been used previously. See the seller’s listing for full details and ...  Read moreabout the conditionUsed: An item that has been used previously. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab,"The Beatles, Paul McCartney, John Lennon",1969,https://i.ebayimg.com/images/g/itgAAOSwq5Fl7gkb/s-l1600.webp,Very Good Plus (VG+),Very Good Plus (VG+),,84.75,5.35,itgAAOSwq5Fl7gkb_s-l1600.webp,Beatles
116125886886.0,Cream Disraeli Gears 1969 press rare oop vinyl LP SD 33-232 ATCO Clapton Baker,"Located in: Conyers, Georgia, United States",UsedAn item that has been used previously. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab,Cream,1969,https://i.ebayimg.com/images/g/xX4AAOSwih9mCNah/s-l1600.webp,Good (G),Excellent (EX),,11.88,4.88,xX4AAOSwih9mCNah_s-l1600.webp,Cream
355618156544.0,CREAM DISRAELI GEARS - RSO RS-1-3010 United States  LP,"Located in: Japan Tokyo, Japan",UsedAn item that has been used previously. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab,CREAM,,https://i.ebayimg.com/images/g/uOgAAOSwsStmFK-u/s-l1600.webp,Very Good Plus (VG+)  -  stain,"Very Good Plus (VG+)  -  slightly mark, paper marks","Apr 15, 2024 18:35:35 PDT",4.25,22.0,uOgAAOSwsStmFK-u_s-l1600.webp,Cream
285762960205.0,THE BEATLES Abbey Road Vinyl 1969 First Press Apple SO-383 No Her Majesty,"Located in: Haslett, Michigan, United States",Used: An item that has been used previously. See the seller’s listing for full details and ...  Read moreabout the conditionUsed: An item that has been used previously. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab,The Beatles,1969,https://i.ebayimg.com/images/g/V1MAAOSwkSZl8biO/s-l500.webp,Very Good (VG),Very Good Plus (VG+),,76.89,4.87,V1MAAOSwkSZl8biO_s-l500.webp,Beatles
296402060806.0,"Fleetwood Mac ""Rumours"" 1st 1977 First Press,W/Insert  BSK 3010","Located in: Medford, Massachusetts, United States",Used: An item that has been used previously. See the seller’s listing for full details and ...  Read moreabout the conditionUsed: An item that has been used previously. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab,Fleetwood Mac,1977,https://i.ebayimg.com/images/g/s7oAAOSwu5dmMaEM/s-l500.webp,Good (G),Good Plus (G+),"May 07, 2024 18:58:24 PDT",9.0,7.0,s7oAAOSwu5dmMaEM_s-l500.webp,Fleetwood Mac
166711177191.0,THE ROLLING STONES TATTOO YOU LP,"Located in: Debary, Florida, United States",Used: An item that has been used previously. See the seller’s listing for full details and ...  Read moreabout the conditionUsed: An item that has been used previously. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab,BEATLES,,https://i.ebayimg.com/images/g/nFkAAOSwHUtmGbOU/s-l1600.webp,,,,8.13,5.75,nFkAAOSwHUtmGbOU_s-l1600.webp,Non Searched
326121052713.0,The Beatles - Abbey Road - 1969 US Apple Album w/ NO Her Majesty (EX),"Located in: Philadelphia, Pennsylvania, United States",Used: An item that has been used previously. See the seller’s listing for full details and ...  Read moreabout the conditionUsed: An item that has been used previously. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab,The Beatles,1969,https://i.ebayimg.com/images/g/m9IAAOSwJkVmPNGB/s-l1600.webp,Very Good Plus (VG+),Excellent (EX),,99.99,,m9IAAOSwJkVmPNGB_s-l1600.webp,Beatles
285830118991.0,The Beatles  Abbey Road 1978 Half Speed Master Pressing LP,"Located in: Lititz, Pennsylvania, United States",Used: An item that has been used previously. See the seller’s listing for full details and ...  Read moreabout the conditionUsed: An item that has been used previously. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab,The Beatles,1980,https://i.ebayimg.com/images/g/~2wAAOSwKGxmKpuE/s-l1600.webp,Very Good (VG),Very Good (VG),,39.99,4.87,~2wAAOSwKGxmKpuE_s-l1600.webp,Beatles
364862671636.0,FLEETWOOD MAC Rumours WARNER BROS LP VG+/NM club edition with insert o,"Located in: Saint Louis, Missouri, United States",Used: An item that has been used previously. See the seller’s listing for full details and ...  Read moreabout the conditionUsed: An item that has been used previously. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab,See Item Title,,https://i.ebayimg.com/images/g/p-wAAOSw82tmLB9H/s-l500.webp,See Item Description,See Item Description,"May 05, 2024 12:10:01 PDT",25.01,5.0,p-wAAOSw82tmLB9H_s-l500.webp,Fleetwood Mac
296349279533.0,CREAM: Disraeli Gears Vinyl LP Stereo 1967 BLUES/PSYCHEDELIC ROCK. A3/B1. **EX**,"Located in: Chelmsford, United Kingdom",Used: An item that has been used previously. See the seller’s listing for full details and ...  Read moreabout the conditionUsed: An item that has been used previously. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab,Cream,1967,https://i.ebayimg.com/images/g/m9AAAOSwztBmEout/s-l1600.webp,Very Good Plus (VG+),Excellent (EX),"Apr 14, 2024 12:38:01 PDT",18.0,23.08,m9AAAOSwztBmEout_s-l1600.webp,Cream
395387853191.0,Original 1969 The BEATLES ABBEY ROAD Vinyl Record LP Apple SO-383,"Located in: Staten Island, New York, United States",Used: An item that has been used previously. See the seller’s listing for full details and ...  Read moreabout the conditionUsed: An item that has been used previously. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab,The Beatles,1969,https://i.ebayimg.com/images/g/yx0AAOSwH6lmOTjB/s-l1600.webp,,,,19.95,4.13,yx0AAOSwH6lmOTjB_s-l1600.webp,Beatles
335380213122.0,Fleetwood Mac-Rumours-BSK 3010 Warner Brothers with Insert - plays vg++,"Located in: Venice, fl, United States",Used: An item that has been used previously. See the seller’s listing for full details and ...  Read moreabout the conditionUsed: An item that has been used previously. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab,Fleetwood Mac,1977,https://i.ebayimg.com/images/g/Z0IAAOSwKK1mN8UT/s-l1600.webp,,,,14.99,5.0,Z0IAAOSwKK1mN8UT_s-l1600.webp,Fleetwood Mac
305538744370.0,FLEETWOOD MAC RUMORS VINYL 1977 BSK3010 VG,"Located in: Travelers Rest, South Carolina, United States",Used: An item that has been used previously. See the seller’s listing for full details and ...  Read moreabout the conditionUsed: An item that has been used previously. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab,Fleetwood Mac,1977,https://i.ebayimg.com/images/g/QG0AAOSwFEVmL89i/s-l500.webp,,,,24.99,,QG0AAOSwFEVmL89i_s-l500.webp,Fleetwood Mac
235543549705.0,BEATLES ABBEY ROAD APPLE AP8815 JAPAN VINYL LP,"Located in: Shibuya, Tokyo, Japan",UsedAn item that has been used previously. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab,BEATLES,,https://i.ebayimg.com/thumbs/images/g/7pMAAOSwyONmMMZc/s-l300.webp,E-,VG+,"May 08, 2024 18:06:04 PDT",6.99,18.0,7pMAAOSwyONmMMZc_s-l300.webp,Beatles
176360678383.0,beatles abbey road lp vinyl records,"Located in: Chandler, Arizona, United States",Used: An item that has been used previously. See the seller’s listing for full details and ...  Read moreabout the conditionUsed: An item that has been used previously. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab,The Beatles,,https://i.ebayimg.com/images/g/xhwAAOSwmZpmM7Uz/s-l1600.webp,,,"May 09, 2024 08:50:36 PDT",5.0,4.87,xhwAAOSwmZpmM7Uz_s-l1600.webp,Beatles
256498834006.0,Rumours Live — Fleetwood Mac (Clear 2LP) Vinyl,"Located in: Ocala, Florida, United States",Used: An item that has been used previously. See the seller’s listing for full details and ...  Read moreabout the conditionUsed: An item that has been used previously. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab,Fleetwood Mac,,https://i.ebayimg.com/images/g/0nQAAOSwOjFmNBIF/s-l1600.webp,Very Good Plus (VG+),Very Good Plus (VG+),,23.0,4.87,0nQAAOSwOjFmNBIF_s-l1600.webp,Fleetwood Mac
204748568525.0,CREAM - DISRAELI GEARS (VINYL LP)  1967 Atco Records Stereo SD 33-232,"Located in: Hyrum, Utah, United States",Used: An item that has been used previously. See the seller’s listing for full details and ...  Read moreabout the conditionUsed: An item that has been used previously. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab,Cream,1967,https://i.ebayimg.com/images/g/-JkAAOSwHzlmFGVL/s-l1600.webp,,,,9.99,4.87,-JkAAOSwHzlmFGVL_s-l1600.webp,Cream
305535648170.0,Cream Disraeli Gears LP ATCO 1969 2nd USA Press Yellow - G VINYL,"Located in: Shenandoah, Pennsylvania, United States",Used: An item that has been used previously. See the seller’s listing for full details and ...  Read moreabout the conditionUsed: An item that has been used previously. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab,"Cream, Eric Clapton, Ginger Baker, Jack Bruce",1969,https://i.ebayimg.com/images/g/jjYAAOSw3aVmLWlJ/s-l500.webp,,,,12.99,4.13,jjYAAOSw3aVmLWlJ_s-l500.webp,Cream
364856622025.0,CREAM DISRAELI GEARS POLYDOR MP2241 JAPAN OBI VINYL LP,"Located in: Shibuya, Tokyo, Japan",UsedAn item that has been used previously. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab,CREAM,,https://i.ebayimg.com/images/g/K4sAAOSw3eJmJ3y7/s-l1600.webp,"VG+,W",E,"May 01, 2024 18:04:18 PDT",32.0,18.0,K4sAAOSw3eJmJ3y7_s-l1600.webp,Cream
256485390396.0,CREAM DISRAELI GEARS - SUPER NICE VG++/VG+++ VINYL LP 1970S USA PRESS,"Located in: Washington, District Of Columbia, United States",Used: An item that has been used previously. See the seller’s listing for full details and ...  Read moreabout the conditionUsed: An item that has been used previously. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab,Cream,,https://i.ebayimg.com/images/g/uh0AAOSwhOdmIsol/s-l500.webp,Excellent (EX),Excellent (EX),,17.95,4.99,uh0AAOSwhOdmIsol_s-l500.webp,Cream
135032657418.0,FLEETWOOD MAC RUMOURS LP Record 1977 w/ ORIG INSERT / LYRIC POSTER BSK 3010,"Located in: Tuckerton, New Jersey, United States",UsedAn item that has been used previously. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab,Fleetwood Mac,1977,https://i.ebayimg.com/images/g/pjYAAOSwwdRmKXEB/s-l500.webp,Very Good Plus (VG+),Very Good Plus (VG+),,18.0,6.0,pjYAAOSwwdRmKXEB_s-l500.webp,Fleetwood Mac
225779334616.0,"THE BEATLES ABBEY ROAD original FACTORY SEALED 1969 PRESS  NO ""MAJESTY""","Located in: Nantucket, Massachusetts, United States",UsedAn item that has been used previously. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab,The Beatles,1969,https://i.ebayimg.com/images/g/c8MAAOSwZh9lCNXW/s-l500.webp,Near Mint (NM or M-),Mint (M),,287.97,12.95,c8MAAOSwZh9lCNXW_s-l500.webp,Beatles
326089925085.0,Cream / Disraeli Gears - Classic Rock Vinyl - 1967 Stereo U.S. Original,"Located in: Warren, Michigan, United States",Used: An item that has been used previously. See the seller’s listing for full details and ...  Read moreabout the conditionUsed: An item that has been used previously. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab,Cream,1967,https://i.ebayimg.com/images/g/UxsAAOSwe4FmHGDW/s-l1600.webp,Good Plus (G+),Good Plus (G+),"Apr 21, 2024 16:09:15 PDT",6.0,4.13,UxsAAOSwe4FmHGDW_s-l1600.webp,Cream
315346250404.0,Cream Disraeli gears VINYL LP Japan pressing Eric Clapton 8,"Located in: Spalding, United Kingdom",Used: An item that has been used previously. See the seller’s listing for full details and ...  Read moreabout the conditionUsed: An item that has been used previously. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab,as title,,https://i.ebayimg.com/images/g/pOMAAOSwkAll-~Xw/s-l1600.webp,Good (G),Excellent (EX),,14.99,21.44,pOMAAOSwkAll-~Xw_s-l1600.webp,Cream
355681534635.0,The Beatles Vinyl Record Lot,"Located in: Salinas, California, United States",UsedAn item that has been used previously. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab,The Beatles,,https://i.ebayimg.com/images/g/LqoAAOSwbbFmMufb/s-l1600.webp,,,"May 06, 2024 18:08:05 PDT",33.77,10.99,LqoAAOSwbbFmMufb_s-l1600.webp,Non Searched
145750341488.0,Cream Disraeli Gears Vinyl LP  Sunshine of Your Love Strange Brew EX 1972,"Located in: Indian Trail, North Carolina, United States",Used: An item that has been used previously. See the seller’s listing for full details and ...  Read moreabout the conditionUsed: An item that has been used previously. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab,Cream,,https://i.ebayimg.com/images/g/n~8AAOSwFzlmL8Qb/s-l1600.webp,,,"May 03, 2024 10:21:23 PDT",25.19,,n~8AAOSwFzlmL8Qb_s-l1600.webp,Cream
335385142367.0,"Fleetwood Mac -Rumours, Original  1977 LP BSK-3010-PLAYS VG TO VG+","Located in: Venice, Florida, United States",Used: An item that has been used previously. See the seller’s listing for full details and ...  Read moreabout the conditionUsed: An item that has been used previously. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab,Fleetwood Mac,1977,https://i.ebayimg.com/images/g/se0AAOSwNuVmPAbf/s-l500.webp,,,,14.99,5.0,se0AAOSwNuVmPAbf_s-l500.webp,Fleetwood Mac
256502328082.0,The Beatles - White Album   UK  1st Vinyl LP Numbered with Photos and spacer etc,"Located in: Newcastle upon Tyne, United Kingdom",Used: An item that has been used previously. See the seller’s listing for full details and ...  Read moreabout the conditionUsed: An item that has been used previously. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab,Deep Purple,,https://i.ebayimg.com/images/g/jtUAAOSwd9dmAdub/s-l500.webp,,,,230.0,31.51,jtUAAOSwd9dmAdub_s-l500.webp,Non Searched
305547460316.0,Cream - (Disraeli Gears) 1967  UK Mono Vinyl Album LP  VG  TEST PLAYED  693 003,"Located in: scarborough, North Yorkshire, United Kingdom",UsedAn item that has been used previously. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab,Cream,1967,https://i.ebayimg.com/images/g/oZEAAOSwhMxmNjMt/s-l1600.webp,Very Good (VG),Very Good (VG),,29.99,22.59,oZEAAOSwhMxmNjMt_s-l1600.webp,Cream
326114171558.0,Fleetwood Mac - Rumours - Vinyl Record LP Album - K56344,"Located in: Bacup, United Kingdom",Used: An item that has been used previously. See the seller’s listing for full details and ...  Read moreabout the conditionUsed: An item that has been used previously. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab,Fleetwood Mac,,https://i.ebayimg.com/thumbs/images/g/fU0AAOSwjKhmNjNj/s-l300.webp,,,,19.99,16.71,fU0AAOSwjKhmNjNj_s-l300.webp,Fleetwood Mac
305543902009.0,Fleetwood Mac - Rumours - 1977 Pressing Winchester US Vinyl LP Textured Sleeve,"Located in: Shenandoah, Pennsylvania, United States",Used: An item that has been used previously. See the seller’s listing for full details and ...  Read moreabout the conditionUsed: An item that has been used previously. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab,Fleetwood Mac,1977,https://i.ebayimg.com/images/g/O~wAAOSw42VmM6pJ/s-l500.webp,Very Good (VG),,,13.99,4.13,O~wAAOSw42VmM6pJ_s-l500.webp,Fleetwood Mac
126437810873.0,Cream - Disraeli Gears     UK 1st Press. A1/B1. Reaction. 1967. Mono   VINYL G+,"Located in: Stockport, Cheshire, United Kingdom",UsedAn item that has been used previously. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab,Cream,1967,https://i.ebayimg.com/images/g/LkUAAOSwmXZmIS4T/s-l500.webp,Very Good (VG),Good Plus (G+),,19.99,12.0,LkUAAOSwmXZmIS4T_s-l500.webp,Cream
335386724387.0,"The Beatles 'Abbey Road' 1975 U.K. Lp issue ex cond w/ laminated cover ""-4 2U""","Located in: Louisville, Kentucky, United States",Used: An item that has been used previously. See the seller’s listing for full details and ...  Read moreabout the conditionUsed: An item that has been used previously. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab,The Beatles,1975,https://i.ebayimg.com/images/g/rdYAAOSwr6RmPRSH/s-l1600.webp,Excellent (EX),Excellent (EX),,65.0,,rdYAAOSwr6RmPRSH_s-l1600.webp,Beatles
204768987733.0,FLEETWOOD MAC Rumours EX HOT STAMPER! 1977 Warner BSK 3010 BUCKINGHAM NICKS,"Located in: East Rutherford, New Jersey, United States",Used: An item that has been used previously. See the seller’s listing for full details and ...  Read moreabout the conditionUsed: An item that has been used previously. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab,Fleetwood Mac,1977,https://i.ebayimg.com/images/g/kEQAAOSw~8JmLo9m/s-l500.webp,Excellent (EX),Excellent (EX),"May 08, 2024 11:04:25 PDT",18.0,4.13,kEQAAOSw~8JmLo9m_s-l500.webp,Fleetwood Mac
335355163759.0,FRAMPTON COMES ALIVE LP G+/VG (17),"Located in: Verona, New Jersey, United States",Used: An item that has been used previously. See the seller’s listing for full details and ...  Read moreabout the conditionUsed: An item that has been used previously. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab,BEATLES,,https://i.ebayimg.com/images/g/5FcAAOSwi5NmITql/s-l1600.webp,,,"May 07, 2024 20:03:07 PDT",10.79,,5FcAAOSwi5NmITql_s-l1600.webp,Non Searched
364866713081.0,"Cream (2) - Disraeli Gears LP, Album ATCO Records SD 33-232 1967 US","Located in: Cape Girardeau, Missouri, United States",UsedAn item that has been used previously. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab,Cream,1967,https://i.ebayimg.com/images/g/sk0AAOSwFPNmL4zD/s-l1600.webp,Very Good (VG),Good Plus (G+),,19.0,4.13,sk0AAOSwFPNmL4zD_s-l1600.webp,Cream
256497047176.0,Fleetwood Mac Rumours Vinyl Record VG+/EX LP BSK 3010 In Shrink,"Located in: Tacoma, Washington, United States",Used: An item that has been used previously. See the seller’s listing for full details and ...  Read moreabout the conditionUsed: An item that has been used previously. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab,Fleetwood Mac,,https://i.ebayimg.com/images/g/mRMAAOSwG0VmMa9I/s-l1600.webp,,,,16.99,4.13,mRMAAOSwG0VmMa9I_s-l1600.webp,Fleetwood Mac
386980770990.0,"Fleetwood Mac - Rumours , BSK 3010 , & Lyrics Insert Warner , Tested","Located in: Pasadena, Texas, United States",Used: An item that has been used previously. See the seller’s listing for full details and ...  Read moreabout the conditionUsed: An item that has been used previously. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab,Fleetwood Mac,1977,https://i.ebayimg.com/images/g/ZaUAAOSw8Y1mNnjI/s-l1600.webp,Very Good Plus (VG+),Very Good Plus (VG+),,18.0,4.87,ZaUAAOSw8Y1mNnjI_s-l1600.webp,Fleetwood Mac
386928244822.0,"Rumours by Fleetwood Mac (Record, 2009)","Located in: Freeport, Maine, United States",Used: An item that has been used previously. See the seller’s listing for full details and ...  Read moreabout the conditionUsed: An item that has been used previously. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab,Fleetwood Mac,2009,https://i.ebayimg.com/images/g/b1gAAOSwfOpmGzzj/s-l1600.webp,Near Mint (NM or M-),Mint (M),,19.99,4.13,b1gAAOSwfOpmGzzj_s-l1600.webp,Fleetwood Mac
156199378013.0,JESUS CHRIST SUPERSTAR  MOVIE  SOUNDTRACK LP,"Located in: Debary, Florida, United States",Used: An item that has been used previously. See the seller’s listing for full details and ...  Read moreabout the conditionUsed: An item that has been used previously. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab,BEATLES,,https://i.ebayimg.com/images/g/PoYAAOSw5WxmO-Uh/s-l500.webp,,,,9.99,5.75,PoYAAOSw5WxmO-Uh_s-l500.webp,Non Searched
226127223161.0,Fleetwood Mac Rumours Original 1977 Insert Vinyl Record Warner Bros  VG+/VG+,"Located in: Lawrence Township, New Jersey, United States",Used: An item that has been used previously. See the seller’s listing for full details and ...  Read moreabout the conditionUsed: An item that has been used previously. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab,Fleetwood Mac,1977,https://i.ebayimg.com/images/g/0D8AAOSwCnVl3mjO/s-l500.webp,,,,20.0,4.13,0D8AAOSwCnVl3mjO_s-l500.webp,Fleetwood Mac
386982333139.0,The Beatles Abbey Road LP SO-383 Apple Records,"Located in: Saint Petersburg, Florida, United States",Used: An item that has been used previously. See the seller’s listing for full details and ...  Read moreabout the conditionUsed: An item that has been used previously. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab,The Beatles,,https://i.ebayimg.com/images/g/7n0AAOSw73RmN3Oy/s-l1600.webp,Good (G),Good Plus (G+),,10.25,6.0,7n0AAOSw73RmN3Oy_s-l1600.webp,Beatles
176361624927.0,vinyl - Fleetwood Mac - Rumours - ultrasonically cleaned - new outer sleeve -,"Located in: Fairfield, California, United States",UsedAn item that has been used previously. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab,Fleetwood Mac,1977,https://i.ebayimg.com/images/g/2YoAAOSwPmVmNHch/s-l1600.webp,Excellent (EX),Excellent (EX),,24.99,4.87,2YoAAOSwPmVmNHch_s-l1600.webp,Fleetwood Mac
